ID,Ref.,Alloy,Dmax,Tsol,Tliq,T0,T0 phase,Hmelt,Smelt,Hmix,Sconf,DGM Tsol,DGM phase Tsol,DGM T0,DGM phase T0,r_average,deltaR,VEC_average,chi,deltachi,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta
407,[60],Fe39Ni39B8.7Si2.75Nb2.3P8.25,1,1241.201575,1521.82485,777,FCC_L12,23648.12075,17.05162528,-20734.3995,-1.338314475,0.24839,FCC_L12#1,1.2904,M3B4_D7B,0.121039,0.133157682,7.9185,1.905805,0.112382169,0.39,0,0.087,0.0275,0.023,0.39,0,0,0,0,0.0825,0,0,0,0,0,0,0,0,0,0,0,0
408,[61],(Fe0.76Si0.096B0.084P0.06)99.7Cu0.3,2,1463.13496,1561.184443,957.7459,BCC_B2,18039.42538,12.01398228,-22676.45743,-0.82839853,0.072896,BCC_B2#1,0.68733,BCC_B2#1,0.11964608,0.132465174,7.02795,1.8760324,0.099049201,0.75772,0,0.08375,0.09571,0,0,0,0,0,0,0.05982,0,0,0,0,0,0,0,0,0.003,0,0,0
409,[61],(Fe0.76Si0.096B0.084P0.06)99.5Cu0.5,1.5,1462.153867,1561.557048,959.8362,BCC_B2,18188.66764,12.1157795,-22516.0258,-0.837833592,0.074083,BCC_B2#1,0.68366,BCC_B2#1,0.11966088,0.132343696,7.03592,1.8760802,0.098955349,0.7562,0,0.08358,0.09552,0,0,0,0,0,0,0.0597,0,0,0,0,0,0,0,0,0.005,0,0,0
410,[61],(Fe0.76Si0.096B0.084P0.06)99.4Cu0.6,1.5,1461.67332,1561.733324,960.85144,BCC_B2,18180.34075,12.11107159,-22435.91499,-0.842222592,0.074663,BCC_B2#1,0.68163,BCC_B2#1,0.11966816,0.132284906,7.0399,1.8761048,0.098909046,0.75544,0,0.0835,0.09542,0,0,0,0,0,0,0.05964,0,0,0,0,0,0,0,0,0.006,0,0,0
411,[62],Fe53Mn10Cr4Mo12C15B6,3,1399.64,2394.5,398,FCC_L12,60490.5,33.04088073,-31186.6,-1.403303292,2.2777,FCC_L12#1,16.133,FCC_L12#1,0.12055,0.191283428,6.38,1.9544,0.295913231,0.53,0,0.06,0,0,0,0,0,0.04,0.12,0,0.15,0,0,0,0,0,0.1,0,0,0,0,0
412,[62],Fe50Mn10Cr4Mo14Y1C15B6,5,1441.34,2391.95,313,BCC_B2,60336.3,32.8908164,-31783.2,-1.480267275,2.12,FCC_L12#1,21.655,FCC_L12#1,0.12129,0.197127016,6.29,1.9549,0.305514304,0.5,0,0.06,0,0,0,0.01,0,0.04,0.14,0,0.15,0,0,0,0,0,0.1,0,0,0,0,0
413,[62],Fe51Mn10Cr4Mo12Y2C15B6,6.5,1451.61,2371.6,300,none,60083.8,33.07231455,-31690.4,-1.48846399,2.0704,FCC_L12#1,22.699,FCC_L12#1,0.12159,0.201492117,6.28,1.9422,0.312878826,0.51,0,0.06,0,0,0,0.02,0,0.04,0.12,0,0.15,0,0,0,0,0,0.1,0,0,0,0,0
414,[62],Fe52Mn10Cr4Mo12Er1C15B6,5,1398.8019,2394.3405,398,FCC_L12,60511.914,33.05444279,-31190.54943,-1.452911272,2.2811,FCC_L12#1,16.133,FCC_L12#1,0.12103,0.195819061,6.33,1.9485,0.30410319,0.52,0,0.06,0,0,0,0,0,0.04,0.12,0,0.15,0,0,0,0.01,0,0.1,0,0,0,0,0
415,[62],Fe51Mn10Cr4Mo12Er2C15B6,7,1395.9412,2393.8554,398,FCC_L12,60607.87,33.11620903,-31202.43822,-1.48846399,2.2925,FCC_L12#1,16.133,FCC_L12#1,0.12151,0.200102024,6.28,1.9426,0.311966729,0.51,0,0.06,0,0,0,0,0,0.04,0.12,0,0.15,0,0,0,0.02,0,0.1,0,0,0,0,0
416,[62],Fe49Mn10Cr4Mo14Er2C15B6,5,1356.2512,2403.6554,400.7,BCC_B2,62910.17,34.52166674,-31559.53822,-1.515423888,2.4644,FCC_L12#1,16.041,FCC_L12#1,0.12173,0.200621476,6.24,1.9492,0.31300377,0.49,0,0.06,0,0,0,0,0,0.04,0.14,0,0.15,0,0,0,0.02,0,0.1,0,0,0,0,0
